n,r,m
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-3Tm,property_value: 23.5})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-2Tm,property_value: 25.2})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-1Tm,property_value: 8.8})"
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_PRECURSOR],(:Precursor {name: Nb2O5})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_PRECURSOR],(:Precursor {name: BaCO3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_PRECURSOR],(:Precursor {name: Bi2O3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_PRECURSOR],(:Precursor {name: Tm2O3})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Quasi-static d33 meter})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Piezoresponse force microscopy (PFM)})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Ferroelectric test system})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: Ferroelectric ceramics})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: CaBi2Nb2O9})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: Bismuth})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: Bismuth layer-structured ferroelectrics (BLSFs)})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: Grain orientation})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: Lotgering factor})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: Spark plasma sintering (SPS)})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: Textured ceramics})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: Thulium oxide (Tm2O3)})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: Spark Plasma Sintering})
"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})",[:HAS_KEYWORD],(:Keyword {name: SPARK (programming language)})
"(:Author {name: Juan Nan Chen,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Juan Nan Chen,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})"
"(:Author {name: Xuan Zhe Pei,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Xuan Zhe Pei,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})"
"(:Author {name: Qian Wang,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Qian Wang,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Superior piezoelectric performance in ytterbium-substituted high-TC Bi5Ti3FeO15,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177343})"
"(:Author {name: Qian Wang,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Materials Today Communications,year: 2024,title: Superior piezoelectric performance in holmium-substituted high-TC Bi5Ti3FeO15,isOpenAccess: false,doi: 10.1016/j.mtcomm.2024.111118})"
"(:Author {name: Qian Wang,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})"
"(:Author {name: Xian Zhao,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Xian Zhao,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})"
"(:Author {name: Ze Yan Wang,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Ze Yan Wang,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})"
"(:Author {name: Chun Ming Wang,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Chun Ming Wang,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Superior piezoelectric performance in ytterbium-substituted high-TC Bi5Ti3FeO15,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177343})"
"(:Author {name: Chun Ming Wang,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})"
"(:Author {name: Chun Ming Wang,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Materials Today Communications,year: 2024,title: Superior piezoelectric performance in holmium-substituted high-TC Bi5Ti3FeO15,isOpenAccess: false,doi: 10.1016/j.mtcomm.2024.111118})"
"(:Author {name: Chun Ming Wang,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Journal of the European Ceramic Society,year: 2025,title: Spark plasma sintering of high-TC calcium bismuth niobate (CaBi2Nb2O9) with superior piezoelectric performance,isOpenAccess: false,doi: 10.1016/j.jeurceramsoc.2024.117065})"
"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-5Tm,property_value: 18.0})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-4Tm,property_value: 10.8})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-3Tm,property_value: 23.5})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-2Tm,property_value: 25.2})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9-1Tm,property_value: 8.8})",[:BELONGS_TO],(:Family {name: CaBi2Nb2O9})
"(:Paper {journal: Composites Part B: Engineering,year: 2025,title: Synergistically triggering macroscopic polarization and dynamic reconfiguration of CdS@SnS2 heterojunction to enhance piezo-photocatalytic nitrate reduction,isOpenAccess: false,doi: 10.1016/j.compositesb.2024.112108})",[:USES_METHOD],(:Method {name: solvothermal})
"(:Paper {journal: Composites Part B: Engineering,year: 2025,title: Synergistically triggering macroscopic polarization and dynamic reconfiguration of CdS@SnS2 heterojunction to enhance piezo-photocatalytic nitrate reduction,isOpenAccess: false,doi: 10.1016/j.compositesb.2024.112108})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Dissolve 4 mmol TAA and 2 mmol SnCl4·5H2O in 80 mL absolute ethanol, stir for 30 min
- Transfer mixture to Teflon-lined autoclave, heat at 160 °C for 12 h
- Cool to room temperature, wash, centrifuge, dry at 60 °C to obtain SnS2
- Combine 20 mmol Cd(NO3)2·4H2O with 60 mL ethylenediamine, stir until transparent
- Add 60 mmol thiourea, stir for 30 min
- Transfer mixture to Teflon-lined autoclave, heat at 160 °C for 12 h
- Wash, centrifuge, dry at 60 °C to obtain CdS
- Disperse x mmol CdS in 80 mL absolute ethanol, ultrasonicate for 15 min
- Add mixture of 2 mmol SnCl4·5H2O and 4 mmol TAA, stir at room temperature for 30 min
- Transfer mixture to Teflon-lined autoclave, heat at 160 °C for 12 h
- Cool to room temperature, wash, centrifuge, dry at 60 °C to obtain CS-x/2 samples
- Combine 0.5 g CdS and 0.5 g SnS2 with 50 mL deionized water, sonicate for 2 h
- Filter and dry to obtain RCS})"
"(:Paper {journal: Composites Part B: Engineering,year: 2025,title: Synergistically triggering macroscopic polarization and dynamic reconfiguration of CdS@SnS2 heterojunction to enhance piezo-photocatalytic nitrate reduction,isOpenAccess: false,doi: 10.1016/j.compositesb.2024.112108})",[:BELONGS_TO_FAMILY],(:Family {name: CdS@SnS2})
"(:Paper {journal: Composites Part B: Engineering,year: 2025,title: Synergistically triggering macroscopic polarization and dynamic reconfiguration of CdS@SnS2 heterojunction to enhance piezo-photocatalytic nitrate reduction,isOpenAccess: false,doi: 10.1016/j.compositesb.2024.112108})",[:MENTIONS],"(:Composition {property_unit: p.m./V,composition: CdS@SnS2 (CdS@SnS2-2),property_value: 3.11})"
"(:Paper {journal: Composites Part B: Engineering,year: 2025,title: Synergistically triggering macroscopic polarization and dynamic reconfiguration of CdS@SnS2 heterojunction to enhance piezo-photocatalytic nitrate reduction,isOpenAccess: false,doi: 10.1016/j.compositesb.2024.112108})",[:MENTIONS],"(:Composition {property_unit: p.m./V,composition: CdS@SnS2 (CdS@SnS2),property_value: 2.24})"
"(:Paper {journal: Composites Part B: Engineering,year: 2025,title: Synergistically triggering macroscopic polarization and dynamic reconfiguration of CdS@SnS2 heterojunction to enhance piezo-photocatalytic nitrate reduction,isOpenAccess: false,doi: 10.1016/j.compositesb.2024.112108})",[:USED_PRECURSOR],(:Precursor {name: thioacetamide (TAA)})
"(:Paper {journal: Composites Part B: Engineering,year: 2025,title: Synergistically triggering macroscopic polarization and dynamic reconfiguration of CdS@SnS2 heterojunction to enhance piezo-photocatalytic nitrate reduction,isOpenAccess: false,doi: 10.1016/j.compositesb.2024.112108})",[:USED_PRECURSOR],(:Precursor {name: SnO2})
"(:Paper {journal: Composites Part B: Engineering,year: 2025,title: Synergistically triggering macroscopic polarization and dynamic reconfiguration of CdS@SnS2 heterojunction to enhance piezo-photocatalytic nitrate reduction,isOpenAccess: false,doi: 10.1016/j.compositesb.2024.112108})",[:USED_PRECURSOR],(:Precursor {name: Ca(NO3)2·4H2O})
